structure,cluster
rmlD_seq0.pdb,2
rmlD_seq1.pdb,2
rmlD_seq10.pdb,2
rmlD_seq11.pdb,1
rmlD_seq12.pdb,2
rmlD_seq13.pdb,2
rmlD_seq14.pdb,2
rmlD_seq15.pdb,2
rmlD_seq16.pdb,2
rmlD_seq17.pdb,2
rmlD_seq18.pdb,2
rmlD_seq19.pdb,2
rmlD_seq2.pdb,2
rmlD_seq20.pdb,2
rmlD_seq21.pdb,2
rmlD_seq22.pdb,2
rmlD_seq23.pdb,2
rmlD_seq24.pdb,2
rmlD_seq25.pdb,1
rmlD_seq26.pdb,2
rmlD_seq27.pdb,2
rmlD_seq28.pdb,2
rmlD_seq29.pdb,2
rmlD_seq3.pdb,2
rmlD_seq30.pdb,2
rmlD_seq31.pdb,2
rmlD_seq32.pdb,2
rmlD_seq33.pdb,2
rmlD_seq34.pdb,2
rmlD_seq35.pdb,2
rmlD_seq36.pdb,2
rmlD_seq37.pdb,2
rmlD_seq38.pdb,2
rmlD_seq39.pdb,2
rmlD_seq4.pdb,2
rmlD_seq40.pdb,2
rmlD_seq5.pdb,2
rmlD_seq6.pdb,2
rmlD_seq7.pdb,2
rmlD_seq8.pdb,2
rmlD_seq9.pdb,2
