alignment_column,conservation_pct,num_present,avg_calibrated_score
37,1.0,1,1.9849
26,1.0,1,1.76071
58,1.0,1,1.6875
36,1.0,1,1.64568
67,1.0,1,1.53177
70,1.0,1,1.4867
18,1.0,1,1.42199
74,1.0,1,1.40987
60,1.0,1,1.32047
57,1.0,1,1.28736
10,1.0,1,1.25028
50,1.0,1,1.20343
20,1.0,1,1.0085
76,1.0,1,0.98533
63,1.0,1,0.98147
6,1.0,1,0.94177
38,1.0,1,0.93987
14,1.0,1,0.84467
44,1.0,1,0.82099
59,1.0,1,0.81211
17,1.0,1,0.77493
46,1.0,1,0.68435
1,1.0,1,0.67235
47,1.0,1,0.67168
23,1.0,1,0.64046
71,1.0,1,0.63639
24,1.0,1,0.60601
43,1.0,1,0.58329
34,1.0,1,0.58234
75,1.0,1,0.57256
29,1.0,1,0.55615
2,1.0,1,0.54721
39,1.0,1,0.53878
19,1.0,1,0.52745
53,1.0,1,0.50841
61,1.0,1,0.46876
11,1.0,1,0.4495
7,1.0,1,0.38467
54,1.0,1,0.29287
66,1.0,1,0.27377
49,1.0,1,0.23965
27,1.0,1,0.23893
77,1.0,1,0.14489
51,1.0,1,0.14344
0,1.0,1,0.12697
45,1.0,1,0.09112
3,1.0,1,0.034
4,1.0,1,0.00893
31,1.0,1,-0.02095
35,1.0,1,-0.02413
5,1.0,1,-0.04245
13,1.0,1,-0.04831
41,1.0,1,-0.09315
64,1.0,1,-0.10108
73,1.0,1,-0.10828
21,1.0,1,-0.1926
9,1.0,1,-0.19684
80,1.0,1,-0.28127
56,1.0,1,-0.31466
28,1.0,1,-0.37932
22,1.0,1,-0.4408
79,1.0,1,-0.53327
62,1.0,1,-0.56309
25,1.0,1,-0.60385
8,1.0,1,-0.62842
55,1.0,1,-0.64752
78,1.0,1,-0.95715
68,1.0,1,-0.95988
15,1.0,1,-1.0686
42,1.0,1,-1.30028
52,1.0,1,-1.33624
40,1.0,1,-1.44306
16,1.0,1,-1.50387
33,1.0,1,-1.51593
65,1.0,1,-1.60398
12,1.0,1,-1.61683
30,1.0,1,-1.6362
72,1.0,1,-1.67144
69,1.0,1,-1.70075
32,1.0,1,-1.74302
48,1.0,1,-1.79719
