structure,cluster
wzg_seq0.pdb,56
wzg_seq1.pdb,34
wzg_seq10.pdb,46
wzg_seq11.pdb,14
wzg_seq12.pdb,3
wzg_seq13.pdb,8
wzg_seq14.pdb,41
wzg_seq15.pdb,24
wzg_seq16.pdb,38
wzg_seq17.pdb,52
wzg_seq18.pdb,58
wzg_seq19.pdb,36
wzg_seq2.pdb,42
wzg_seq20.pdb,20
wzg_seq21.pdb,18
wzg_seq22.pdb,59
wzg_seq23.pdb,4
wzg_seq24.pdb,5
wzg_seq25.pdb,11
wzg_seq26.pdb,6
wzg_seq27.pdb,13
wzg_seq28.pdb,29
wzg_seq29.pdb,32
wzg_seq3.pdb,57
wzg_seq30.pdb,26
wzg_seq31.pdb,25
wzg_seq32.pdb,22
wzg_seq33.pdb,33
wzg_seq34.pdb,47
wzg_seq35.pdb,50
wzg_seq36.pdb,17
wzg_seq37.pdb,48
wzg_seq38.pdb,19
wzg_seq39.pdb,23
wzg_seq4.pdb,54
wzg_seq40.pdb,49
wzg_seq41.pdb,29
wzg_seq42.pdb,1
wzg_seq43.pdb,37
wzg_seq44.pdb,61
wzg_seq45.pdb,53
wzg_seq46.pdb,51
wzg_seq47.pdb,39
wzg_seq48.pdb,29
wzg_seq49.pdb,28
wzg_seq5.pdb,44
wzg_seq50.pdb,7
wzg_seq51.pdb,27
wzg_seq52.pdb,14
wzg_seq53.pdb,2
wzg_seq54.pdb,15
wzg_seq55.pdb,55
wzg_seq56.pdb,40
wzg_seq57.pdb,60
wzg_seq58.pdb,16
wzg_seq59.pdb,12
wzg_seq6.pdb,30
wzg_seq60.pdb,10
wzg_seq61.pdb,21
wzg_seq62.pdb,9
wzg_seq63.pdb,43
wzg_seq7.pdb,45
wzg_seq8.pdb,31
wzg_seq9.pdb,35
