structure,cluster
wzh_seq0.pdb,1
wzh_seq1.pdb,2
wzh_seq10.pdb,2
wzh_seq11.pdb,2
wzh_seq12.pdb,2
wzh_seq13.pdb,2
wzh_seq14.pdb,2
wzh_seq15.pdb,2
wzh_seq16.pdb,2
wzh_seq17.pdb,2
wzh_seq18.pdb,2
wzh_seq19.pdb,2
wzh_seq2.pdb,2
wzh_seq20.pdb,2
wzh_seq21.pdb,2
wzh_seq22.pdb,2
wzh_seq23.pdb,2
wzh_seq24.pdb,2
wzh_seq25.pdb,2
wzh_seq26.pdb,2
wzh_seq27.pdb,2
wzh_seq28.pdb,2
wzh_seq29.pdb,2
wzh_seq3.pdb,2
wzh_seq30.pdb,2
wzh_seq31.pdb,2
wzh_seq32.pdb,1
wzh_seq33.pdb,2
wzh_seq34.pdb,2
wzh_seq35.pdb,2
wzh_seq36.pdb,2
wzh_seq37.pdb,2
wzh_seq38.pdb,2
wzh_seq39.pdb,2
wzh_seq4.pdb,2
wzh_seq40.pdb,2
wzh_seq41.pdb,2
wzh_seq42.pdb,2
wzh_seq43.pdb,2
wzh_seq44.pdb,3
wzh_seq45.pdb,2
wzh_seq46.pdb,2
wzh_seq47.pdb,2
wzh_seq48.pdb,2
wzh_seq49.pdb,2
wzh_seq5.pdb,2
wzh_seq50.pdb,2
wzh_seq51.pdb,2
wzh_seq52.pdb,2
wzh_seq53.pdb,2
wzh_seq54.pdb,2
wzh_seq55.pdb,2
wzh_seq56.pdb,2
wzh_seq57.pdb,2
wzh_seq58.pdb,2
wzh_seq59.pdb,2
wzh_seq6.pdb,2
wzh_seq60.pdb,2
wzh_seq61.pdb,2
wzh_seq62.pdb,2
wzh_seq63.pdb,2
wzh_seq64.pdb,2
wzh_seq65.pdb,2
wzh_seq66.pdb,2
wzh_seq67.pdb,2
wzh_seq68.pdb,2
wzh_seq69.pdb,2
wzh_seq7.pdb,2
wzh_seq70.pdb,2
wzh_seq71.pdb,2
wzh_seq72.pdb,2
wzh_seq73.pdb,2
wzh_seq74.pdb,2
wzh_seq75.pdb,2
wzh_seq76.pdb,1
wzh_seq77.pdb,2
wzh_seq78.pdb,2
wzh_seq79.pdb,2
wzh_seq8.pdb,2
wzh_seq80.pdb,2
wzh_seq81.pdb,2
wzh_seq82.pdb,2
wzh_seq83.pdb,2
wzh_seq84.pdb,2
wzh_seq85.pdb,2
wzh_seq86.pdb,2
wzh_seq87.pdb,2
wzh_seq88.pdb,2
wzh_seq89.pdb,2
wzh_seq9.pdb,2
