structure,cluster
rmlC_seq0.pdb,40
rmlC_seq1.pdb,19
rmlC_seq10.pdb,28
rmlC_seq11.pdb,7
rmlC_seq12.pdb,5
rmlC_seq13.pdb,35
rmlC_seq14.pdb,24
rmlC_seq15.pdb,36
rmlC_seq16.pdb,22
rmlC_seq17.pdb,9
rmlC_seq18.pdb,32
rmlC_seq19.pdb,25
rmlC_seq2.pdb,6
rmlC_seq20.pdb,38
rmlC_seq21.pdb,1
rmlC_seq22.pdb,20
rmlC_seq23.pdb,30
rmlC_seq24.pdb,11
rmlC_seq25.pdb,33
rmlC_seq26.pdb,17
rmlC_seq27.pdb,8
rmlC_seq28.pdb,12
rmlC_seq29.pdb,3
rmlC_seq3.pdb,13
rmlC_seq30.pdb,37
rmlC_seq31.pdb,23
rmlC_seq32.pdb,15
rmlC_seq33.pdb,14
rmlC_seq34.pdb,10
rmlC_seq35.pdb,2
rmlC_seq36.pdb,4
rmlC_seq37.pdb,21
rmlC_seq38.pdb,29
rmlC_seq39.pdb,39
rmlC_seq4.pdb,16
rmlC_seq5.pdb,34
rmlC_seq6.pdb,26
rmlC_seq7.pdb,18
rmlC_seq8.pdb,31
rmlC_seq9.pdb,27
