structure,cluster
rmlA_seq0.pdb,36
rmlA_seq1.pdb,13
rmlA_seq10.pdb,10
rmlA_seq11.pdb,31
rmlA_seq12.pdb,6
rmlA_seq13.pdb,14
rmlA_seq14.pdb,17
rmlA_seq15.pdb,16
rmlA_seq16.pdb,15
rmlA_seq17.pdb,11
rmlA_seq18.pdb,34
rmlA_seq19.pdb,23
rmlA_seq2.pdb,12
rmlA_seq20.pdb,20
rmlA_seq21.pdb,33
rmlA_seq22.pdb,6
rmlA_seq23.pdb,9
rmlA_seq24.pdb,19
rmlA_seq25.pdb,27
rmlA_seq26.pdb,22
rmlA_seq27.pdb,6
rmlA_seq28.pdb,1
rmlA_seq29.pdb,24
rmlA_seq3.pdb,21
rmlA_seq30.pdb,35
rmlA_seq31.pdb,4
rmlA_seq32.pdb,26
rmlA_seq33.pdb,7
rmlA_seq34.pdb,8
rmlA_seq35.pdb,2
rmlA_seq36.pdb,26
rmlA_seq37.pdb,32
rmlA_seq38.pdb,28
rmlA_seq39.pdb,18
rmlA_seq4.pdb,29
rmlA_seq5.pdb,25
rmlA_seq6.pdb,20
rmlA_seq7.pdb,3
rmlA_seq8.pdb,30
rmlA_seq9.pdb,5
