structure,cluster
wzx_seq0.pdb,33
wzx_seq1.pdb,1
wzx_seq10.pdb,3
wzx_seq11.pdb,37
wzx_seq12.pdb,37
wzx_seq13.pdb,37
wzx_seq14.pdb,37
wzx_seq15.pdb,8
wzx_seq16.pdb,34
wzx_seq17.pdb,52
wzx_seq18.pdb,66
wzx_seq19.pdb,27
wzx_seq2.pdb,2
wzx_seq20.pdb,25
wzx_seq21.pdb,28
wzx_seq22.pdb,26
wzx_seq23.pdb,25
wzx_seq24.pdb,31
wzx_seq25.pdb,18
wzx_seq26.pdb,16
wzx_seq27.pdb,64
wzx_seq28.pdb,40
wzx_seq29.pdb,39
wzx_seq3.pdb,10
wzx_seq30.pdb,22
wzx_seq31.pdb,54
wzx_seq32.pdb,6
wzx_seq33.pdb,62
wzx_seq34.pdb,73
wzx_seq35.pdb,11
wzx_seq36.pdb,12
wzx_seq37.pdb,29
wzx_seq38.pdb,23
wzx_seq39.pdb,30
wzx_seq4.pdb,15
wzx_seq40.pdb,7
wzx_seq41.pdb,38
wzx_seq42.pdb,75
wzx_seq43.pdb,76
wzx_seq44.pdb,9
wzx_seq45.pdb,24
wzx_seq46.pdb,44
wzx_seq47.pdb,69
wzx_seq48.pdb,60
wzx_seq49.pdb,67
wzx_seq5.pdb,15
wzx_seq50.pdb,71
wzx_seq51.pdb,68
wzx_seq52.pdb,37
wzx_seq53.pdb,36
wzx_seq54.pdb,36
wzx_seq55.pdb,4
wzx_seq56.pdb,70
wzx_seq57.pdb,61
wzx_seq58.pdb,42
wzx_seq59.pdb,53
wzx_seq6.pdb,56
wzx_seq60.pdb,74
wzx_seq61.pdb,45
wzx_seq62.pdb,13
wzx_seq63.pdb,14
wzx_seq64.pdb,47
wzx_seq65.pdb,55
wzx_seq66.pdb,41
wzx_seq67.pdb,5
wzx_seq68.pdb,48
wzx_seq69.pdb,46
wzx_seq7.pdb,19
wzx_seq70.pdb,63
wzx_seq71.pdb,49
wzx_seq72.pdb,63
wzx_seq73.pdb,65
wzx_seq74.pdb,58
wzx_seq75.pdb,77
wzx_seq76.pdb,50
wzx_seq77.pdb,20
wzx_seq78.pdb,51
wzx_seq79.pdb,72
wzx_seq8.pdb,21
wzx_seq80.pdb,17
wzx_seq81.pdb,43
wzx_seq82.pdb,32
wzx_seq83.pdb,35
wzx_seq84.pdb,59
wzx_seq9.pdb,57
