gene,seq1,seq2,tm_score,sequence_identity,sequence_divergence,structural_divergence
wzg,wzg_seq36.pdb,wzg_seq2.pdb,0.36607,0.9646569646569647,0.03534303534303529,0.63393
wzg,wzg_seq36.pdb,wzg_seq47.pdb,0.39726,0.975051975051975,0.02494802494802495,0.60274
wzg,wzg_seq36.pdb,wzg_seq14.pdb,0.39411,0.9792099792099792,0.02079002079002079,0.60589
wzg,wzg_seq36.pdb,wzg_seq45.pdb,0.39234,0.9625779625779626,0.037422037422037424,0.60766
wzg,wzg_seq36.pdb,wzg_seq22.pdb,0.38315,0.9854469854469855,0.014553014553014498,0.61685
wzg,wzg_seq36.pdb,wzg_seq46.pdb,0.38957,0.975051975051975,0.02494802494802495,0.61043
wzg,wzg_seq36.pdb,wzg_seq63.pdb,0.38511,0.9771309771309772,0.022869022869022815,0.6148899999999999
wzg,wzg_seq36.pdb,wzg_seq3.pdb,0.36146,0.9646569646569647,0.03534303534303529,0.63854
wzg,wzg_seq48.pdb,wzg_seq12.pdb,0.37496,0.9916839916839917,0.008316008316008316,0.62504
wzg,wzg_seq48.pdb,wzg_seq7.pdb,0.39064,0.9520833333333333,0.04791666666666672,0.60936
wzg,wzg_seq48.pdb,wzg_seq2.pdb,0.39234,0.954070981210856,0.045929018789144016,0.60766
wzg,wzg_seq48.pdb,wzg_seq47.pdb,0.34396,0.9666666666666667,0.033333333333333326,0.65604
wzg,wzg_seq48.pdb,wzg_seq14.pdb,0.36202,0.9708333333333333,0.029166666666666674,0.63798
wzg,wzg_seq48.pdb,wzg_seq40.pdb,0.37071,0.9729166666666667,0.027083333333333348,0.62929
wzg,wzg_seq48.pdb,wzg_seq22.pdb,0.343,0.9729166666666667,0.027083333333333348,0.657
wzg,wzg_seq48.pdb,wzg_seq42.pdb,0.37695,0.9729166666666667,0.027083333333333348,0.62305
wzg,wzg_seq48.pdb,wzg_seq34.pdb,0.36069,0.95,0.050000000000000044,0.63931
wzg,wzg_seq48.pdb,wzg_seq10.pdb,0.35462,0.9667359667359667,0.033264033264033266,0.6453800000000001
wzg,wzg_seq48.pdb,wzg_seq37.pdb,0.36338,0.9520833333333333,0.04791666666666672,0.63662
wzg,wzg_seq48.pdb,wzg_seq4.pdb,0.38544,0.96875,0.03125,0.61456
wzg,wzg_seq48.pdb,wzg_seq46.pdb,0.35181,0.9666666666666667,0.033333333333333326,0.64819
wzg,wzg_seq48.pdb,wzg_seq35.pdb,0.36328,0.9666666666666667,0.033333333333333326,0.63672
wzg,wzg_seq48.pdb,wzg_seq63.pdb,0.36479,0.975,0.025000000000000022,0.63521
wzg,wzg_seq48.pdb,wzg_seq3.pdb,0.34729,0.9519832985386222,0.04801670146137782,0.65271
wzg,wzg_seq48.pdb,wzg_seq5.pdb,0.37825,0.9583333333333334,0.04166666666666663,0.62175
wzg,wzg_seq19.pdb,wzg_seq0.pdb,0.3525,0.9501039501039501,0.0498960498960499,0.6475
wzg,wzg_seq19.pdb,wzg_seq7.pdb,0.39336,0.9584199584199584,0.04158004158004158,0.6066400000000001
wzg,wzg_seq19.pdb,wzg_seq26.pdb,0.39416,0.9563409563409564,0.043659043659043606,0.6058399999999999
wzg,wzg_seq19.pdb,wzg_seq2.pdb,0.34314,0.9584199584199584,0.04158004158004158,0.65686
wzg,wzg_seq19.pdb,wzg_seq47.pdb,0.36637,0.9688149688149689,0.03118503118503113,0.63363
wzg,wzg_seq19.pdb,wzg_seq14.pdb,0.3767,0.972972972972973,0.027027027027026973,0.6233
wzg,wzg_seq19.pdb,wzg_seq53.pdb,0.37712,0.96875,0.03125,0.62288
wzg,wzg_seq19.pdb,wzg_seq40.pdb,0.38347,0.9792099792099792,0.02079002079002079,0.61653
wzg,wzg_seq19.pdb,wzg_seq62.pdb,0.35639,0.9583333333333334,0.04166666666666663,0.64361
wzg,wzg_seq19.pdb,wzg_seq24.pdb,0.36931,0.9792099792099792,0.02079002079002079,0.63069
wzg,wzg_seq19.pdb,wzg_seq45.pdb,0.33722,0.9563409563409564,0.043659043659043606,0.6627799999999999
wzg,wzg_seq19.pdb,wzg_seq22.pdb,0.34136,0.9833679833679834,0.016632016632016633,0.65864
wzg,wzg_seq19.pdb,wzg_seq50.pdb,0.39069,0.9645833333333333,0.03541666666666665,0.60931
wzg,wzg_seq19.pdb,wzg_seq60.pdb,0.35985,0.95,0.050000000000000044,0.64015
wzg,wzg_seq19.pdb,wzg_seq58.pdb,0.39064,0.975051975051975,0.02494802494802495,0.60936
wzg,wzg_seq19.pdb,wzg_seq10.pdb,0.39041,0.975051975051975,0.02494802494802495,0.6095900000000001
wzg,wzg_seq19.pdb,wzg_seq37.pdb,0.38211,0.9604989604989606,0.03950103950103945,0.61789
wzg,wzg_seq19.pdb,wzg_seq46.pdb,0.34539,0.9688149688149689,0.03118503118503113,0.65461
wzg,wzg_seq19.pdb,wzg_seq35.pdb,0.39198,0.9771309771309772,0.022869022869022815,0.60802
wzg,wzg_seq19.pdb,wzg_seq63.pdb,0.35726,0.975051975051975,0.02494802494802495,0.64274
wzg,wzg_seq19.pdb,wzg_seq3.pdb,0.31215,0.9584199584199584,0.04158004158004158,0.6878500000000001
