structure,cluster
wchA_seq0.pdb,53
wchA_seq1.pdb,50
wchA_seq10.pdb,9
wchA_seq11.pdb,18
wchA_seq12.pdb,26
wchA_seq13.pdb,45
wchA_seq14.pdb,31
wchA_seq15.pdb,28
wchA_seq16.pdb,6
wchA_seq17.pdb,61
wchA_seq18.pdb,15
wchA_seq19.pdb,43
wchA_seq2.pdb,33
wchA_seq20.pdb,51
wchA_seq21.pdb,16
wchA_seq22.pdb,11
wchA_seq23.pdb,32
wchA_seq24.pdb,10
wchA_seq25.pdb,17
wchA_seq26.pdb,30
wchA_seq27.pdb,63
wchA_seq28.pdb,13
wchA_seq29.pdb,21
wchA_seq3.pdb,34
wchA_seq30.pdb,14
wchA_seq31.pdb,12
wchA_seq32.pdb,54
wchA_seq33.pdb,22
wchA_seq34.pdb,5
wchA_seq35.pdb,3
wchA_seq36.pdb,4
wchA_seq37.pdb,24
wchA_seq38.pdb,52
wchA_seq39.pdb,55
wchA_seq4.pdb,39
wchA_seq40.pdb,62
wchA_seq41.pdb,29
wchA_seq42.pdb,60
wchA_seq43.pdb,20
wchA_seq44.pdb,19
wchA_seq45.pdb,41
wchA_seq46.pdb,57
wchA_seq47.pdb,1
wchA_seq48.pdb,40
wchA_seq49.pdb,58
wchA_seq5.pdb,37
wchA_seq50.pdb,56
wchA_seq51.pdb,66
wchA_seq52.pdb,7
wchA_seq53.pdb,25
wchA_seq54.pdb,46
wchA_seq55.pdb,2
wchA_seq56.pdb,23
wchA_seq57.pdb,47
wchA_seq58.pdb,48
wchA_seq59.pdb,35
wchA_seq6.pdb,44
wchA_seq60.pdb,27
wchA_seq61.pdb,38
wchA_seq62.pdb,59
wchA_seq63.pdb,65
wchA_seq64.pdb,49
wchA_seq65.pdb,42
wchA_seq7.pdb,36
wchA_seq8.pdb,8
wchA_seq9.pdb,64
