structure,cluster
wzy_seq0.pdb,34
wzy_seq1.pdb,20
wzy_seq10.pdb,30
wzy_seq11.pdb,31
wzy_seq12.pdb,32
wzy_seq13.pdb,26
wzy_seq14.pdb,27
wzy_seq15.pdb,42
wzy_seq16.pdb,44
wzy_seq17.pdb,46
wzy_seq18.pdb,63
wzy_seq19.pdb,61
wzy_seq2.pdb,22
wzy_seq20.pdb,71
wzy_seq21.pdb,35
wzy_seq22.pdb,6
wzy_seq23.pdb,15
wzy_seq24.pdb,14
wzy_seq25.pdb,28
wzy_seq26.pdb,76
wzy_seq27.pdb,54
wzy_seq28.pdb,47
wzy_seq29.pdb,67
wzy_seq3.pdb,5
wzy_seq30.pdb,57
wzy_seq31.pdb,48
wzy_seq32.pdb,53
wzy_seq33.pdb,56
wzy_seq34.pdb,78
wzy_seq35.pdb,29
wzy_seq36.pdb,66
wzy_seq37.pdb,49
wzy_seq38.pdb,50
wzy_seq39.pdb,23
wzy_seq4.pdb,62
wzy_seq40.pdb,74
wzy_seq41.pdb,68
wzy_seq42.pdb,36
wzy_seq43.pdb,17
wzy_seq44.pdb,59
wzy_seq45.pdb,21
wzy_seq46.pdb,25
wzy_seq47.pdb,3
wzy_seq48.pdb,1
wzy_seq49.pdb,4
wzy_seq5.pdb,75
wzy_seq50.pdb,43
wzy_seq51.pdb,40
wzy_seq52.pdb,2
wzy_seq53.pdb,24
wzy_seq54.pdb,9
wzy_seq55.pdb,19
wzy_seq56.pdb,72
wzy_seq57.pdb,10
wzy_seq58.pdb,11
wzy_seq59.pdb,41
wzy_seq6.pdb,58
wzy_seq60.pdb,18
wzy_seq61.pdb,55
wzy_seq62.pdb,13
wzy_seq63.pdb,60
wzy_seq64.pdb,39
wzy_seq65.pdb,64
wzy_seq66.pdb,37
wzy_seq67.pdb,69
wzy_seq68.pdb,12
wzy_seq69.pdb,77
wzy_seq7.pdb,45
wzy_seq70.pdb,51
wzy_seq71.pdb,52
wzy_seq72.pdb,38
wzy_seq73.pdb,16
wzy_seq74.pdb,7
wzy_seq75.pdb,73
wzy_seq76.pdb,8
wzy_seq77.pdb,70
wzy_seq8.pdb,65
wzy_seq9.pdb,33
