structure,cluster
tnp_seq0.pdb,3
tnp_seq1.pdb,20
tnp_seq10.pdb,22
tnp_seq11.pdb,1
tnp_seq12.pdb,28
tnp_seq13.pdb,31
tnp_seq14.pdb,23
tnp_seq15.pdb,19
tnp_seq16.pdb,9
tnp_seq17.pdb,12
tnp_seq18.pdb,34
tnp_seq19.pdb,35
tnp_seq2.pdb,18
tnp_seq20.pdb,29
tnp_seq21.pdb,25
tnp_seq22.pdb,36
tnp_seq23.pdb,24
tnp_seq24.pdb,7
tnp_seq25.pdb,9
tnp_seq26.pdb,5
tnp_seq27.pdb,26
tnp_seq28.pdb,6
tnp_seq29.pdb,30
tnp_seq3.pdb,38
tnp_seq30.pdb,13
tnp_seq31.pdb,15
tnp_seq32.pdb,16
tnp_seq33.pdb,37
tnp_seq34.pdb,8
tnp_seq35.pdb,32
tnp_seq36.pdb,27
tnp_seq37.pdb,33
tnp_seq38.pdb,17
tnp_seq4.pdb,11
tnp_seq5.pdb,14
tnp_seq6.pdb,2
tnp_seq7.pdb,21
tnp_seq8.pdb,4
tnp_seq9.pdb,10
