gene,seq1,seq2,tm_score,sequence_identity
wzg,wzg_seq36.pdb,wzg_seq48.pdb,0.59077,0.9666666666666667
wzg,wzg_seq36.pdb,wzg_seq19.pdb,0.50655,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq12.pdb,0.47924,0.9666666666666667
wzg,wzg_seq36.pdb,wzg_seq0.pdb,0.47161,0.9563409563409564
wzg,wzg_seq36.pdb,wzg_seq27.pdb,0.42862,0.9875259875259875
wzg,wzg_seq36.pdb,wzg_seq7.pdb,0.42522,0.9646569646569647
wzg,wzg_seq36.pdb,wzg_seq59.pdb,0.50708,0.9833679833679834
wzg,wzg_seq36.pdb,wzg_seq26.pdb,0.40194,0.9625779625779626
wzg,wzg_seq36.pdb,wzg_seq2.pdb,0.36607,0.9646569646569647
wzg,wzg_seq36.pdb,wzg_seq47.pdb,0.39726,0.975051975051975
wzg,wzg_seq36.pdb,wzg_seq14.pdb,0.39411,0.9792099792099792
wzg,wzg_seq36.pdb,wzg_seq38.pdb,0.53427,0.9771309771309772
wzg,wzg_seq36.pdb,wzg_seq53.pdb,0.48851,0.9666666666666667
wzg,wzg_seq36.pdb,wzg_seq18.pdb,0.3718,0.9334719334719335
wzg,wzg_seq36.pdb,wzg_seq40.pdb,0.42597,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq6.pdb,0.50968,0.9896049896049897
wzg,wzg_seq36.pdb,wzg_seq62.pdb,0.46061,0.9604166666666667
wzg,wzg_seq36.pdb,wzg_seq24.pdb,0.41057,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq45.pdb,0.39234,0.9625779625779626
wzg,wzg_seq36.pdb,wzg_seq22.pdb,0.38315,0.9854469854469855
wzg,wzg_seq36.pdb,wzg_seq43.pdb,0.44735,0.975051975051975
wzg,wzg_seq36.pdb,wzg_seq9.pdb,0.43423,0.9833679833679834
wzg,wzg_seq36.pdb,wzg_seq52.pdb,0.67215,0.9666666666666667
wzg,wzg_seq36.pdb,wzg_seq15.pdb,0.51593,0.9792099792099792
wzg,wzg_seq36.pdb,wzg_seq42.pdb,0.45469,0.9854469854469855
wzg,wzg_seq36.pdb,wzg_seq21.pdb,0.5467,0.9771309771309772
wzg,wzg_seq36.pdb,wzg_seq50.pdb,0.47416,0.9625
wzg,wzg_seq36.pdb,wzg_seq60.pdb,0.43464,0.9541666666666667
wzg,wzg_seq36.pdb,wzg_seq32.pdb,0.57949,0.9521829521829522
wzg,wzg_seq36.pdb,wzg_seq16.pdb,0.43506,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq39.pdb,0.4929,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq34.pdb,0.43834,0.9501039501039501
wzg,wzg_seq36.pdb,wzg_seq25.pdb,0.48747,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq49.pdb,0.55207,0.9875259875259875
wzg,wzg_seq36.pdb,wzg_seq1.pdb,0.50974,0.9625
wzg,wzg_seq36.pdb,wzg_seq54.pdb,0.68803,0.9645833333333333
wzg,wzg_seq36.pdb,wzg_seq13.pdb,0.47655,0.9625
wzg,wzg_seq36.pdb,wzg_seq58.pdb,0.65734,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq10.pdb,0.41104,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq51.pdb,0.47874,0.9875259875259875
wzg,wzg_seq36.pdb,wzg_seq17.pdb,0.42458,0.9355509355509356
wzg,wzg_seq36.pdb,wzg_seq33.pdb,0.54491,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq30.pdb,0.53033,0.9459459459459459
wzg,wzg_seq36.pdb,wzg_seq8.pdb,0.45772,0.9812889812889813
wzg,wzg_seq36.pdb,wzg_seq44.pdb,0.3065,0.6784968684759917
wzg,wzg_seq36.pdb,wzg_seq37.pdb,0.43262,0.9667359667359667
wzg,wzg_seq36.pdb,wzg_seq4.pdb,0.49831,0.9792099792099792
wzg,wzg_seq36.pdb,wzg_seq46.pdb,0.38957,0.975051975051975
wzg,wzg_seq36.pdb,wzg_seq55.pdb,0.44512,0.9625779625779626
wzg,wzg_seq36.pdb,wzg_seq57.pdb,0.29376,0.6784968684759917
wzg,wzg_seq36.pdb,wzg_seq28.pdb,0.57452,0.9583333333333334
wzg,wzg_seq36.pdb,wzg_seq35.pdb,0.41794,0.9833679833679834
wzg,wzg_seq36.pdb,wzg_seq63.pdb,0.38511,0.9771309771309772
wzg,wzg_seq36.pdb,wzg_seq3.pdb,0.36146,0.9646569646569647
wzg,wzg_seq36.pdb,wzg_seq29.pdb,0.49683,0.9645833333333333
wzg,wzg_seq36.pdb,wzg_seq31.pdb,0.51075,0.9521829521829522
wzg,wzg_seq36.pdb,wzg_seq61.pdb,0.50927,0.9833679833679834
wzg,wzg_seq36.pdb,wzg_seq20.pdb,0.65119,0.972972972972973
wzg,wzg_seq36.pdb,wzg_seq41.pdb,0.57542,0.96875
wzg,wzg_seq36.pdb,wzg_seq23.pdb,0.44957,0.9604989604989606
wzg,wzg_seq36.pdb,wzg_seq11.pdb,0.62621,0.9812889812889813
