structure,cluster
glf_seq0.pdb,3
glf_seq1.pdb,46
glf_seq10.pdb,49
glf_seq11.pdb,25
glf_seq12.pdb,45
glf_seq13.pdb,47
glf_seq14.pdb,43
glf_seq15.pdb,22
glf_seq16.pdb,1
glf_seq17.pdb,48
glf_seq18.pdb,8
glf_seq19.pdb,41
glf_seq2.pdb,16
glf_seq20.pdb,10
glf_seq21.pdb,17
glf_seq22.pdb,38
glf_seq23.pdb,19
glf_seq24.pdb,11
glf_seq25.pdb,42
glf_seq26.pdb,31
glf_seq27.pdb,4
glf_seq28.pdb,23
glf_seq29.pdb,12
glf_seq3.pdb,35
glf_seq30.pdb,18
glf_seq31.pdb,21
glf_seq32.pdb,39
glf_seq33.pdb,25
glf_seq34.pdb,29
glf_seq35.pdb,13
glf_seq36.pdb,36
glf_seq37.pdb,26
glf_seq38.pdb,37
glf_seq39.pdb,32
glf_seq4.pdb,33
glf_seq40.pdb,5
glf_seq41.pdb,20
glf_seq42.pdb,22
glf_seq43.pdb,6
glf_seq44.pdb,9
glf_seq45.pdb,24
glf_seq46.pdb,7
glf_seq47.pdb,30
glf_seq48.pdb,27
glf_seq49.pdb,2
glf_seq5.pdb,34
glf_seq50.pdb,44
glf_seq6.pdb,40
glf_seq7.pdb,15
glf_seq8.pdb,28
glf_seq9.pdb,14
