structure,cluster
wzd_seq0.pdb,12
wzd_seq1.pdb,27
wzd_seq10.pdb,17
wzd_seq11.pdb,26
wzd_seq12.pdb,27
wzd_seq13.pdb,6
wzd_seq14.pdb,47
wzd_seq15.pdb,27
wzd_seq16.pdb,44
wzd_seq17.pdb,26
wzd_seq18.pdb,36
wzd_seq19.pdb,25
wzd_seq2.pdb,27
wzd_seq20.pdb,25
wzd_seq21.pdb,23
wzd_seq22.pdb,29
wzd_seq23.pdb,24
wzd_seq24.pdb,28
wzd_seq25.pdb,28
wzd_seq26.pdb,28
wzd_seq27.pdb,28
wzd_seq28.pdb,51
wzd_seq29.pdb,3
wzd_seq3.pdb,52
wzd_seq30.pdb,13
wzd_seq31.pdb,4
wzd_seq32.pdb,15
wzd_seq33.pdb,14
wzd_seq34.pdb,45
wzd_seq35.pdb,21
wzd_seq36.pdb,19
wzd_seq37.pdb,28
wzd_seq38.pdb,5
wzd_seq39.pdb,38
wzd_seq4.pdb,1
wzd_seq40.pdb,24
wzd_seq41.pdb,28
wzd_seq42.pdb,25
wzd_seq43.pdb,49
wzd_seq44.pdb,41
wzd_seq45.pdb,42
wzd_seq46.pdb,10
wzd_seq47.pdb,28
wzd_seq48.pdb,28
wzd_seq49.pdb,24
wzd_seq5.pdb,40
wzd_seq50.pdb,53
wzd_seq51.pdb,20
wzd_seq52.pdb,28
wzd_seq53.pdb,11
wzd_seq54.pdb,34
wzd_seq55.pdb,22
wzd_seq56.pdb,8
wzd_seq57.pdb,48
wzd_seq58.pdb,24
wzd_seq59.pdb,28
wzd_seq6.pdb,40
wzd_seq60.pdb,39
wzd_seq61.pdb,9
wzd_seq62.pdb,23
wzd_seq63.pdb,28
wzd_seq64.pdb,28
wzd_seq65.pdb,24
wzd_seq66.pdb,24
wzd_seq67.pdb,23
wzd_seq68.pdb,37
wzd_seq69.pdb,28
wzd_seq7.pdb,54
wzd_seq70.pdb,19
wzd_seq71.pdb,23
wzd_seq72.pdb,23
wzd_seq73.pdb,27
wzd_seq74.pdb,25
wzd_seq75.pdb,7
wzd_seq76.pdb,30
wzd_seq77.pdb,31
wzd_seq78.pdb,32
wzd_seq79.pdb,46
wzd_seq8.pdb,43
wzd_seq80.pdb,35
wzd_seq81.pdb,23
wzd_seq82.pdb,24
wzd_seq83.pdb,18
wzd_seq84.pdb,28
wzd_seq85.pdb,16
wzd_seq86.pdb,28
wzd_seq87.pdb,28
wzd_seq88.pdb,33
wzd_seq89.pdb,2
wzd_seq9.pdb,50
