structure,cluster
wze_seq0.pdb,4
wze_seq1.pdb,4
wze_seq10.pdb,4
wze_seq11.pdb,4
wze_seq12.pdb,4
wze_seq13.pdb,4
wze_seq14.pdb,4
wze_seq15.pdb,4
wze_seq16.pdb,2
wze_seq17.pdb,2
wze_seq18.pdb,4
wze_seq19.pdb,4
wze_seq2.pdb,4
wze_seq20.pdb,4
wze_seq21.pdb,4
wze_seq22.pdb,4
wze_seq23.pdb,4
wze_seq24.pdb,4
wze_seq25.pdb,3
wze_seq26.pdb,4
wze_seq27.pdb,4
wze_seq28.pdb,4
wze_seq29.pdb,4
wze_seq3.pdb,4
wze_seq30.pdb,4
wze_seq31.pdb,4
wze_seq32.pdb,4
wze_seq33.pdb,4
wze_seq34.pdb,3
wze_seq35.pdb,4
wze_seq36.pdb,4
wze_seq37.pdb,4
wze_seq38.pdb,4
wze_seq39.pdb,4
wze_seq4.pdb,4
wze_seq40.pdb,4
wze_seq41.pdb,4
wze_seq42.pdb,4
wze_seq43.pdb,4
wze_seq44.pdb,3
wze_seq45.pdb,4
wze_seq46.pdb,4
wze_seq47.pdb,4
wze_seq48.pdb,4
wze_seq49.pdb,4
wze_seq5.pdb,4
wze_seq50.pdb,4
wze_seq51.pdb,5
wze_seq52.pdb,4
wze_seq53.pdb,4
wze_seq54.pdb,4
wze_seq55.pdb,4
wze_seq56.pdb,1
wze_seq57.pdb,6
wze_seq58.pdb,4
wze_seq59.pdb,4
wze_seq6.pdb,4
wze_seq60.pdb,4
wze_seq61.pdb,4
wze_seq62.pdb,1
wze_seq63.pdb,4
wze_seq64.pdb,4
wze_seq65.pdb,4
wze_seq66.pdb,4
wze_seq67.pdb,4
wze_seq68.pdb,4
wze_seq69.pdb,4
wze_seq7.pdb,4
wze_seq70.pdb,4
wze_seq71.pdb,4
wze_seq72.pdb,4
wze_seq73.pdb,4
wze_seq74.pdb,4
wze_seq75.pdb,4
wze_seq76.pdb,4
wze_seq77.pdb,4
wze_seq78.pdb,4
wze_seq79.pdb,4
wze_seq8.pdb,4
wze_seq80.pdb,4
wze_seq81.pdb,4
wze_seq82.pdb,4
wze_seq83.pdb,4
wze_seq84.pdb,4
wze_seq85.pdb,4
wze_seq86.pdb,4
wze_seq87.pdb,4
wze_seq88.pdb,4
wze_seq89.pdb,4
wze_seq9.pdb,4
wze_seq90.pdb,4
