gene,seq1,seq2,tm_score
wciC,wciC_seq1.pdb,wciC_seq0.pdb,0.77023
wciC,wciC_seq1.pdb,wciC_seq2.pdb,0.62815
wciC,wciC_seq0.pdb,wciC_seq2.pdb,0.57923
wcyO,wcyO_seq0.pdb,wcyO_seq1.pdb,0.42488
mnaA,mnaA_seq14.pdb,mnaA_seq9.pdb,0.48025
mnaA,mnaA_seq14.pdb,mnaA_seq3.pdb,0.48312
mnaA,mnaA_seq14.pdb,mnaA_seq2.pdb,0.47184
mnaA,mnaA_seq14.pdb,mnaA_seq10.pdb,0.48197
mnaA,mnaA_seq14.pdb,mnaA_seq1.pdb,0.49297
mnaA,mnaA_seq14.pdb,mnaA_seq5.pdb,0.53399
mnaA,mnaA_seq14.pdb,mnaA_seq8.pdb,0.58668
mnaA,mnaA_seq14.pdb,mnaA_seq7.pdb,0.46011
mnaA,mnaA_seq14.pdb,mnaA_seq12.pdb,0.48008
mnaA,mnaA_seq14.pdb,mnaA_seq11.pdb,0.47885
mnaA,mnaA_seq14.pdb,mnaA_seq0.pdb,0.52417
mnaA,mnaA_seq14.pdb,mnaA_seq13.pdb,0.45199
mnaA,mnaA_seq14.pdb,mnaA_seq4.pdb,0.47893
mnaA,mnaA_seq14.pdb,mnaA_seq6.pdb,0.47946
mnaA,mnaA_seq9.pdb,mnaA_seq3.pdb,0.82864
mnaA,mnaA_seq9.pdb,mnaA_seq2.pdb,0.78327
mnaA,mnaA_seq9.pdb,mnaA_seq10.pdb,0.90481
mnaA,mnaA_seq9.pdb,mnaA_seq1.pdb,0.78314
mnaA,mnaA_seq9.pdb,mnaA_seq5.pdb,0.61736
mnaA,mnaA_seq9.pdb,mnaA_seq8.pdb,0.55045
mnaA,mnaA_seq9.pdb,mnaA_seq7.pdb,0.50529
mnaA,mnaA_seq9.pdb,mnaA_seq12.pdb,0.89837
mnaA,mnaA_seq9.pdb,mnaA_seq11.pdb,0.76916
mnaA,mnaA_seq9.pdb,mnaA_seq0.pdb,0.65347
mnaA,mnaA_seq9.pdb,mnaA_seq13.pdb,0.50716
mnaA,mnaA_seq9.pdb,mnaA_seq4.pdb,0.86654
mnaA,mnaA_seq9.pdb,mnaA_seq6.pdb,0.48924
mnaA,mnaA_seq3.pdb,mnaA_seq2.pdb,0.78662
mnaA,mnaA_seq3.pdb,mnaA_seq10.pdb,0.80882
mnaA,mnaA_seq3.pdb,mnaA_seq1.pdb,0.83514
mnaA,mnaA_seq3.pdb,mnaA_seq5.pdb,0.62957
mnaA,mnaA_seq3.pdb,mnaA_seq8.pdb,0.51911
mnaA,mnaA_seq3.pdb,mnaA_seq7.pdb,0.51009
mnaA,mnaA_seq3.pdb,mnaA_seq12.pdb,0.82943
mnaA,mnaA_seq3.pdb,mnaA_seq11.pdb,0.747
mnaA,mnaA_seq3.pdb,mnaA_seq0.pdb,0.67373
mnaA,mnaA_seq3.pdb,mnaA_seq13.pdb,0.52007
mnaA,mnaA_seq3.pdb,mnaA_seq4.pdb,0.78522
mnaA,mnaA_seq3.pdb,mnaA_seq6.pdb,0.49685
mnaA,mnaA_seq2.pdb,mnaA_seq10.pdb,0.86276
