protein,region,n_residues,mean_plddt,median_plddt,min_plddt,max_plddt
wzh_seq0,192-200,9,0.7072255,0.70549506,0.6098293,0.78511
wzh_seq10,192-200,9,0.73007834,0.74746776,0.597677,0.82587194
wzh_seq11,192-200,9,0.8027224,0.823559,0.66285294,0.8887079
wzh_seq12,192-200,9,0.7301018,0.7487081,0.6024171,0.814914
wzh_seq13,192-200,9,0.70486724,0.7148475,0.58588487,0.80134207
wzh_seq14,192-200,9,0.6705372,0.6818363,0.5690509,0.7673575
wzh_seq15,192-200,9,0.7304827,0.7463299,0.6123507,0.80850667
wzh_seq16,192-200,9,0.70928866,0.7283613,0.6033713,0.77615696
wzh_seq17,192-200,9,0.63525796,0.63159454,0.5627939,0.69466686
wzh_seq18,192-200,9,0.59490126,0.61105406,0.45069674,0.7408709
wzh_seq19,192-200,9,0.5625892,0.5972115,0.40066803,0.755229
wzh_seq1,192-200,9,0.73670816,0.7669738,0.5849302,0.8301407
wzh_seq20,192-200,9,0.577205,0.56094116,0.44886026,0.7489963
wzh_seq21,192-200,9,0.62314767,0.5968433,0.5044319,0.7910938
wzh_seq22,192-200,9,0.6249399,0.601995,0.4869212,0.7932207
wzh_seq23,192-200,9,0.48138374,0.4566797,0.36715958,0.7066661
wzh_seq24,192-200,9,0.6431172,0.6568865,0.5274337,0.7761198
wzh_seq25,192-200,9,0.71066666,0.75408226,0.5129046,0.8272375
wzh_seq26,192-200,9,0.6329241,0.6362392,0.49589694,0.74309057
wzh_seq27,192-200,9,0.6411008,0.61959183,0.5313293,0.7981343
wzh_seq28,192-200,9,0.6603984,0.67353284,0.5098927,0.7753973
wzh_seq29,192-200,9,0.7790603,0.7954372,0.6813129,0.83252907
wzh_seq2,192-200,9,0.7260794,0.75609636,0.58321047,0.8185977
wzh_seq30,192-200,9,0.50176173,0.4693709,0.41729218,0.63097346
wzh_seq31,192-200,9,0.6737541,0.67394304,0.5681145,0.7528178
wzh_seq32,192-200,9,0.7083365,0.7049366,0.6081952,0.7763341
wzh_seq33,192-200,9,0.5399567,0.50701237,0.40886378,0.7468315
wzh_seq34,192-200,9,0.5940519,0.6071763,0.49686503,0.7033738
wzh_seq35,192-200,9,0.74437195,0.7558676,0.6439806,0.8046371
wzh_seq36,192-200,9,0.6874482,0.7168349,0.5336722,0.8038559
wzh_seq37,192-200,9,0.72064656,0.75298685,0.57749605,0.7976218
wzh_seq38,192-200,9,0.6651154,0.69914687,0.50320756,0.7922655
wzh_seq39,192-200,9,0.7383497,0.7441713,0.63646716,0.8123274
wzh_seq3,192-200,9,0.7471815,0.7743402,0.61642796,0.82452434
wzh_seq40,192-200,9,0.7364333,0.74282855,0.6417104,0.80246025
wzh_seq41,192-200,9,0.48863614,0.46026543,0.37606397,0.71911556
wzh_seq42,192-200,9,0.55078626,0.55063677,0.39656886,0.7423038
wzh_seq43,192-200,9,0.6221973,0.6554074,0.470025,0.7394407
wzh_seq44,192-200,9,0.6716549,0.6895323,0.5620802,0.74425167
wzh_seq45,192-200,9,0.6507611,0.6586297,0.5450092,0.7350932
wzh_seq46,192-200,9,0.71434087,0.72612506,0.60113645,0.7962345
wzh_seq47,192-200,9,0.64629793,0.67661405,0.4624787,0.7989995
wzh_seq48,192-200,9,0.72403336,0.750978,0.58928984,0.805371
wzh_seq49,192-200,9,0.7224545,0.742115,0.5976429,0.79787534
wzh_seq4,192-200,9,0.6645288,0.6716872,0.5403459,0.7847457
wzh_seq50,192-200,9,0.7497807,0.7749952,0.63536835,0.8279925
wzh_seq51,192-200,9,0.5727122,0.5442366,0.5031726,0.7134341
wzh_seq52,192-200,9,0.7150806,0.73940533,0.57419133,0.8086201
wzh_seq53,192-200,9,0.70366925,0.7169877,0.6157397,0.7711909
wzh_seq54,192-200,9,0.6413204,0.64975876,0.5125554,0.7294025
wzh_seq55,192-200,9,0.7084316,0.7265237,0.59105945,0.78114814
wzh_seq56,192-200,9,0.66703063,0.683548,0.59301585,0.7688613
wzh_seq57,192-200,9,0.5836648,0.49545747,0.44349682,0.80126137
wzh_seq58,192-200,9,0.7211034,0.74266464,0.61933124,0.7952522
wzh_seq59,192-200,9,0.67235476,0.6865216,0.5400728,0.7663655
wzh_seq5,192-200,9,0.6755271,0.68820286,0.526729,0.79702026
wzh_seq60,192-200,9,0.62128997,0.63188726,0.49166837,0.7315072
wzh_seq61,192-200,9,0.63157463,0.6260631,0.5311355,0.747853
wzh_seq62,192-200,9,0.7052399,0.7220552,0.57108945,0.7840698
wzh_seq63,192-200,9,0.71829003,0.7376528,0.590674,0.80200577
wzh_seq64,192-200,9,0.7299291,0.7519022,0.5919621,0.81614304
wzh_seq65,192-200,9,0.69726324,0.7173213,0.5676494,0.77866817
wzh_seq66,192-200,9,0.53025913,0.47828105,0.44378445,0.7410326
wzh_seq67,192-200,9,0.7148659,0.7274242,0.5935322,0.7948964
wzh_seq68,192-200,9,0.6433166,0.6552506,0.49635145,0.78715885
wzh_seq69,192-200,9,0.7214711,0.7381118,0.5903412,0.7955337
wzh_seq6,192-200,9,0.71036947,0.7360249,0.5420128,0.8337501
