gene,missing_serotypes_covered,missing_serotypes_total,missing_coverage_percent,total_serotypes_covered,total_serotypes,total_coverage_percent,mean_pairwise_identity,min_pairwise_identity,max_pairwise_identity,n_pairwise_comparisons,covered_missing_serotypes
wzh,26,26,100.0,90,90,100.0,93.09654954099389,83.53909465020575,100.0,325,"SCP46,SPC02,SPC03,SPC05,SPC07F,SPC11F,SPC12A,SPC12F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC35B,SPC35C,SPC35F,SPC40,SPC41F,SPC42,SPC44,SPC45"
wze,26,26,100.0,90,90,100.0,88.30261625754645,77.09251101321586,100.0,325,"SCP46,SPC02,SPC03,SPC05,SPC07F,SPC11F,SPC12A,SPC12F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC35B,SPC35C,SPC35F,SPC40,SPC41F,SPC42,SPC44,SPC45"
wzd,26,26,100.0,90,90,100.0,84.03874965614084,66.95652173913044,100.0,325,"SCP46,SPC02,SPC03,SPC05,SPC07F,SPC11F,SPC12A,SPC12F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC35B,SPC35C,SPC35F,SPC40,SPC41F,SPC42,SPC44,SPC45"
wzx,24,26,92.3076923076923,84,90,93.33333333333333,24.41257909307823,11.086474501108649,100.0,276,"SCP46,SPC02,SPC03,SPC05,SPC07F,SPC11F,SPC12A,SPC12F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC35B,SPC35C,SPC40,SPC42,SPC44,SPC45"
wzy,22,26,84.61538461538461,71,90,78.88888888888889,18.998758128472375,9.252669039145907,100.0,300,"SCP46,SPC02,SPC03,SPC05,SPC11F,SPC12A,SPC12F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC35B,SPC35C,SPC41F,SPC42,SPC44,SPC45"
wchA,19,26,73.07692307692307,66,90,73.33333333333333,86.24253791210914,70.19867549668875,100.0,171,"SPC02,SPC03,SPC07F,SPC11F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC35B,SPC35C,SPC40,SPC41F,SPC42"
rmlD,16,26,61.53846153846154,41,90,45.55555555555556,99.23733804475854,98.58657243816255,100.0,120,"SPC02,SPC03,SPC07F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC40,SPC41F,SPC45"
rmlB,16,26,61.53846153846154,42,90,46.666666666666664,99.20563695013598,96.56160458452722,100.0,120,"SPC02,SPC03,SPC07F,SPC15F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC40,SPC41F,SPC45"
rmlC,14,26,53.84615384615385,40,90,44.44444444444444,97.3031762371864,92.38578680203045,100.0,91,"SPC02,SPC03,SPC07F,SPC21,SPC23B,SPC24A,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC40,SPC41F,SPC45"
rmlA,14,26,53.84615384615385,40,90,44.44444444444444,94.98641266461334,91.00346020761245,100.0,91,"SPC02,SPC03,SPC07F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC28A,SPC32A,SPC32F,SPC40,SPC41F,SPC45"
wchF,13,26,50.0,27,90,30.0,69.10997451491225,14.5748987854251,100.0,105,"SPC02,SPC03,SPC07F,SPC21,SPC23B,SPC24A,SPC24B,SPC24F,SPC27,SPC28A,SPC32A,SPC32F,SPC40"
glf,10,26,38.46153846153847,45,90,50.0,78.8784506532583,58.70646766169154,100.0,55,"SPC02,SPC03,SPC15F,SPC21,SPC24F,SPC35B,SPC35C,SPC35F,SPC41F,SPC42"
tnp,9,26,34.61538461538461,34,90,37.77777777777778,29.040536362633507,11.170212765957446,100.0,55,"SPC11F,SPC12A,SPC21,SPC24A,SPC24F,SPC32A,SPC32F,SPC35B,SPC45"
fnlC,6,26,23.076923076923077,8,90,8.88888888888889,99.57698815566836,98.98477157360406,100.0,15,"SCP46,SPC05,SPC12A,SPC12F,SPC44,SPC45"
fnlB,6,26,23.076923076923077,8,90,8.88888888888889,98.7123064384678,97.06601466992664,100.0,15,"SCP46,SPC05,SPC12A,SPC12F,SPC44,SPC45"
wciJ,6,26,23.076923076923077,8,90,8.88888888888889,85.88840761957992,74.50980392156863,100.0,15,"SCP46,SPC05,SPC12A,SPC12F,SPC44,SPC45"
wciI,6,26,23.076923076923077,10,90,11.11111111111111,82.0054080929524,72.58883248730965,100.0,15,"SCP46,SPC05,SPC12A,SPC12F,SPC44,SPC45"
fnlA,5,26,19.230769230769234,7,90,7.777777777777778,92.92388565634269,82.31884057971014,100.0,10,"SCP46,SPC05,SPC12A,SPC12F,SPC44"
wciB,5,26,19.230769230769234,24,90,26.666666666666668,88.98615288576131,73.76425855513308,100.0,10,"SPC35B,SPC35C,SPC35F,SPC41F,SPC42"
mnaA,4,26,15.384615384615385,15,90,16.666666666666664,100.0,100.0,100.0,6,"SCP46,SPC12A,SPC12F,SPC44"
mnaB,4,26,15.384615384615385,5,90,5.555555555555555,100.0,100.0,100.0,6,"SCP46,SPC12A,SPC12F,SPC44"
wcxE,4,26,15.384615384615385,5,90,5.555555555555555,99.61734693877553,99.23469387755102,100.0,6,"SCP46,SPC12A,SPC12F,SPC44"
wcxD,4,26,15.384615384615385,5,90,5.555555555555555,98.97579143389198,98.32402234636871,100.0,6,"SCP46,SPC12A,SPC12F,SPC44"
wcjE,4,26,15.384615384615385,17,90,18.88888888888889,93.18645450836392,88.01169590643275,100.0,6,"SPC11F,SPC15F,SPC35C,SPC42"
wciG,4,26,15.384615384615385,16,90,17.77777777777778,84.98995983935743,77.71084337349397,100.0,6,"SPC35B,SPC35C,SPC35F,SPC42"
wcxI,3,26,11.538461538461538,3,90,3.3333333333333335,100.0,100.0,100.0,3,"SPC24A,SPC24B,SPC24F"
gtp3,3,26,11.538461538461538,8,90,8.88888888888889,99.75932611311671,99.63898916967509,100.0,3,"SPC15F,SPC23B,SPC28A"
rbsF,3,26,11.538461538461538,7,90,7.777777777777778,99.48717948717949,99.23076923076923,100.0,3,"SPC24B,SPC24F,SPC40"
gtp1,3,26,11.538461538461538,8,90,8.88888888888889,99.41520467836257,99.12280701754386,100.0,3,"SPC15F,SPC23B,SPC28A"
abp2,3,26,11.538461538461538,5,90,5.555555555555555,99.24026590693256,98.86039886039886,99.71509971509973,3,"SPC24A,SPC24B,SPC24F"
wcxJ,3,26,11.538461538461538,3,90,3.3333333333333335,99.22779922779922,98.84169884169884,100.0,3,"SPC24A,SPC24B,SPC24F"
wcxG,3,26,11.538461538461538,5,90,5.555555555555555,98.43400447427294,97.98657718120806,98.99328859060402,3,"SPC24A,SPC24B,SPC24F"
gtp2,3,26,11.538461538461538,8,90,8.88888888888889,98.00569800569802,97.00854700854701,100.0,3,"SPC15F,SPC23B,SPC28A"
aliB,3,26,11.538461538461538,18,90,20.0,97.66081871345028,96.49122807017544,98.24561403508771,3,"SPC12F,SPC15F,SPC24B"
abp1,3,26,11.538461538461538,6,90,6.666666666666667,95.67642956764294,93.72384937238493,99.16317991631799,3,"SPC24A,SPC24B,SPC24F"
wcrN,3,26,11.538461538461538,3,90,3.3333333333333335,95.36019536019536,93.04029304029304,100.0,3,"SPC27,SPC32A,SPC32F"
wcxK,3,26,11.538461538461538,3,90,3.3333333333333335,95.29375097397538,92.93478260869566,98.9247311827957,3,"SPC24A,SPC24B,SPC24F"
wcrJ,3,26,11.538461538461538,5,90,5.555555555555555,58.19819819819819,37.2972972972973,100.0,3,"SPC35B,SPC35C,SPC42"
mnp1,2,26,7.6923076923076925,3,90,3.3333333333333335,100.0,100.0,100.0,1,"SPC35C,SPC42"
mnp2,2,26,7.6923076923076925,3,90,3.3333333333333335,100.0,100.0,100.0,1,"SPC35C,SPC42"
wchQ,2,26,7.6923076923076925,6,90,6.666666666666667,100.0,100.0,100.0,1,"SPC32A,SPC32F"
wcrH,2,26,7.6923076923076925,6,90,6.666666666666667,100.0,100.0,100.0,1,"SPC35C,SPC42"
wcrK,2,26,7.6923076923076925,2,90,2.2222222222222223,100.0,100.0,100.0,1,"SPC35C,SPC42"
wcyH,2,26,7.6923076923076925,2,90,2.2222222222222223,100.0,100.0,100.0,1,"SPC32A,SPC32F"
wcrI,2,26,7.6923076923076925,3,90,3.3333333333333335,99.69788519637463,99.69788519637463,99.69788519637463,1,"SPC35C,SPC42"
wchJ,2,26,7.6923076923076925,12,90,13.333333333333334,97.31543624161074,97.31543624161074,97.31543624161074,1,"SPC11F,SPC15F"
wcwA,2,26,7.6923076923076925,5,90,5.555555555555555,90.57591623036649,90.57591623036649,90.57591623036649,1,"SPC07F,SPC21"
wchX,2,26,7.6923076923076925,7,90,7.777777777777778,87.17277486910994,87.17277486910994,87.17277486910994,1,"SPC15F,SPC23B"
gct,2,26,7.6923076923076925,13,90,14.444444444444443,75.96899224806202,75.96899224806202,75.96899224806202,1,"SPC11F,SPC45"
ugd,2,26,7.6923076923076925,14,90,15.555555555555555,72.93233082706767,72.93233082706767,72.93233082706767,1,"SPC05,SPC41F"
wchK,2,26,7.6923076923076925,12,90,13.333333333333334,66.45569620253164,66.45569620253164,66.45569620253164,1,"SPC11F,SPC15F"
